,Title,Link,Description,Day,Month,Year,Hour,Creator,Topic
0,Board topics,https://community.bt.com/t5/Announcements-Guides-Community/bd-p/Announcements,Board topics ,28,Mar,2022,17,Announcements,Announcements
1,Profile settings,https://community.bt.com/t5/Announcements-Guides-Community/Profile-settings/m-p/2206884#M3713,P&g   I am having an issue. My previous BT Community id is ******@gmail.com (which is active). This is before I left ,17,Jan,2022,09,Drskhan,Announcements
2,Notice from BT?,https://community.bt.com/t5/Announcements-Guides-Community/Notice-from-BT/m-p/2204209#M3694,I received a notification today allegedly from BT asking me to confirm my acceptance of new terms and conditions by tomorrow (5 1 22) or I will lose access to my information - Question - is this genuine? ,04,Jan,2022,11,nickm2,Announcements
3,Thank you to all our Community members,https://community.bt.com/t5/Announcements-Guides-Community/Thank-you-to-all-our-Community-members/m-p/2202055#M3686,"Hi Commun   I hope everyone is keeping safe and well.  I can’t quite believe we are just a few days off Christmas and not long now until we see the end of 2021, what a year it has b ",21,Dec,2021,12,SeanD,Announcements
4,Email requesting setting up new direct debit - genuine?,https://community.bt.com/t5/Announcements-Guides-Community/Email-requesting-setting-up-new-direct-debit-genuine/m-p/2200426#M3667,"I've had an email saying my direct debit 'is no longer active' and nees to be set up again. It contains the last 3 numbers of my account, but how can I check it's genuine? ",13,Dec,2021,10,judex,Announcements
5,Phishing email received quotes part acc,https://community.bt.com/t5/Announcements-Guides-Community/Phishing-email-received-quotes-part-acc/m-p/2200342#M3660,"Hello. If this is not the correct place for the enquiry please feel free to move it.      I received a legit looking email stating my direct debit is no longer active. It contains actual BT links but BT confirmed on call it was not sent by them.      Also checked BT account and bank account online and DD still active.             Issue is that mail correctly quotes last 4 digits of my BT account, which is concerning. Assuming this is all any scammer has but still an issue       I have forwarded to phishing@bt com.      Has anyone else had this? ",12,Dec,2021,16,RPendrigh,Announcements
6,Scam,https://community.bt.com/t5/Announcements-Guides-Community/Scam/m-p/2197993#M3654,"Hello,      Just had a call from an Indian gentleman purporting to be from BT. He was forceful and said I wasn't getting the right speed from my router and tried to get me to go to BT speed checker via Google.      I smalt a rat and he hung up. Looking at the number he called from it was a non existent local number.      I have blocked it. Having just joined BT and upgraded to FTTP last week it was potentially plausible. He  knew my name.      Was this a coincidence or have these scammers hacked BT and me?      Anybody got any thoughts or info?      Many thanks,      John ",30,Nov,2021,17,Johnmlowe,Announcements
7,Delete profile &amp; data,https://community.bt.com/t5/Announcements-Guides-Community/Delete-profile-amp-data/m-p/2194408#M3628,how to Delete profile &amp amp  data on bt ? ,13,Nov,2021,04,EntrepreneurHarsh,Announcements
8,Openreach add another 170 towns and villages to FTTP rollout,https://community.bt.com/t5/Announcements-Guides-Community/Openreach-add-another-170-towns-and-villages-to-FTTP-rollout/m-p/2190989#M3622,"More places added to FTTP rollout.        A href=""https:  www.ispreview.co.uk index.php 2021 10 170-new-additions-to-openreachs-uk-fttp-rollout-programme.html"" target=""_self"" https:  www.ispreview.co.uk index.php 2021 10 170-new-additions-to-openreachs-uk-fttp-rollout-programme.html   A ",26,Oct,2021,14,pippincp,Announcements
9,Text &amp; WhatsApp messaging Scam purporting to be from a family member,https://community.bt.com/t5/Announcements-Guides-Community/Text-amp-WhatsApp-messaging-Scam-purporting-to-be-from-a-family/m-p/2189614#M3592,Hi Every   Please be aware of a new scam doing the rounds.  The scams involve a text or WhatsApp message from a person claiming to be a family member and have the common aim of encouraging the recipient to transfer mo ,19,Oct,2021,10,SeanD,Announcements
10,X  Box X,https://community.bt.com/t5/Announcements-Guides-Community/X-Box-X/m-p/2188360#M3589,This is probably the $64 million dollar question but is anybody aware of any plans for BT to release any further X Box? Thanks ,11,Oct,2021,21,irecormac,Announcements
