headline,reviewBody,Author Name,Published Year,Published Month,Published Day,Review,SA Negative,SA Positive,Review Case
Into day 6 with no broadband connection,"Broadband went down 20th/21st December.  Reported early 21st.  Promise to fix by end of 24th.  Lots of calls from me to get an update as no communication or online tracking update at all.  Finally told that an engineer had picked it up on 24th and to no surprise whatsoever it still isn't fixed.  Really helpful change of date fix estimate to 28th though - that is by text and the online tracker still says it will be fixed by 24th.  It is now 26th.It would also be great if you change your customer service line that Openreach is a separate company and therefore you cannot get an update on progress. Looks like it is a wholly owned subsidiary to me and even if it wasn't my contract is with BT and not currently being fulfilled, so I'm not really interested in your corporate structure.",Richard,2021,12,26,1,0.075,0.088,Positive
Terrible company,"Terrible company, with appalling website and internet.",attilio,2021,12,25,1,0.528,0,Negative
A communication company....that can't communicate?,"A quick mention to the very beginning of my customer with BT. I ordered an internet package online and was given a date for activation. The date came and went and nothing was heard from BT. I chased them to discover that my order had been cancelled - they accused me of cancelling it. Strange. They re-ordered the order. Eventually...I had internet access. Woohoo. Some time later BT contact me and explain that their fibre service is now available in my area and that to upgrade to their 150mb package it would only cost a coupel of £ more. Sounds good to me so I tell them to go ahead. This is the beginning of November. I get numerous texts saying my engineer is coming on a certain date. The date comes and goes and unsurprisingly no engineer. I chase again. I'm told the date was provisional and not confirmed. They apologise for the 17 text messages that all explicitly confirm the date and time. I'm told I will be called back with an update in a day. No call. What a shock. I chase again. A helpful lady tells me the account is a total mess (No way?!) and she would dig through it. She says she will contact me with updates. SHE DOES! A genuine surprise. The update says the engineer will be coming on a set date and time. The day was 2 days ago. I've still heard nothing. I actually checked the order tracker the evening before and noted that the details say ""The appointment failed"". BEFORE THE ACTUAL DATE!?I'm now seeing on the tracker that the intended date to turn on my internet on is the end of MAY. Still no one has contacted me via telephone, text  or email to alert me to this. This is some of the poorest customer service I have ever received. How is it that ISP all seem to operate this poorly?If you're already a BT customer - I'm sorry. I'm in this boat with you.If you're not already a BT customer I would heed warning and look elsewhere. (And on a side note - the router (hub) they use is reasonably good. However it absolutely hates the PS4, even other Ethernet.)I'll return and update if they do ever bother to contact me. - I'm sure they'll reply with this with a standardised response of 'please contact our helpdesk' or 'visit this web page'. I can assure you all that these options have already been visited.",Chris,2021,12,24,2,0.085,0.061,Negative
Our landline was recently cut-off by BT…,"Our landline was recently cut-off by BT to force us to use the hub, into which we had to connect the house phones.Firstly, we have numerous power-cuts in this area and the landline would continue to work, whereas the same phones connected to the hub won't.Secondly, the internet is poor where we live and it often disconnects while being used and BBC iplayer often can't keep up.Thirdly, the cable which connects the landline phones to the wall socket wouldn't reach the hub which necessitated me buying a cable. Connecting the landline to the hub has not worked however.BT has provided 2 radio phones but these are not as good as the original 4 house phones and the many contacts are not automatically transferred making it a real pain for my 92yo mother who only uses the house phones. We didn't ask for this change and had no choice, it was imposed upon us and in my view constitutes a 'breach of contract' since we have now been unable to use our expensive house phones for more than a month.",G. Henson,2021,12,24,1,0.081,0.016,Negative
"Broadband doesnt work, engineers missing appointments","Ordered broadband for the 13th of december. Didnt on that day, waited for the next day still didnt work. Called BT they scheduled egineer, he didnt show up. I had left work early, lost my weekly bonus,regular wages and he didnt even show up. Called again scheduled another visit DIDNT SHOW UP AGAIN. Third time I called and thats when they finally showed up, had to leave work early 3 times and even then they couldnt fix the problem. They scheduled another appointment 4th time and they DIDNT SHOW UP AGAIN. What is wrong with this company wasting people's time and money absolutely ridiculous. Now its been 11 days and my broad band doesnt work next appointment is on 30th so that will be 17 day without the internet. Ludicrous stay clear of BT dont buy their services because if you have a problem good luck getting it fixedEdit: looks like BT wants me to write on community forums, but what will that even do people there aren't BT employees just members of community.",Vytautas Raginskas,2021,12,24,1,0.048,0.069,Positive
All year round I am happy BUT ..,"All year round I am happy BUT ..The moment I have to cancel the broadband as I plan to leave the country all the issues crop up. I had filled two cutomer service complaints within the span of a week and I am not just a disgruntled customer out to tarnish the name of the company. I initially planned to end my broadband plan on 10th Dec & agreed this over the phone with BT. However, my flight was a week after and so I call BT one month ahead in early November to pushed the final date for broadband to 18th Dec instead. A relatively simple thing to do, but everytime I called I was put on hold for 20minutes and told there was system issues.So i was asked to call tomorrow or next week or end of the month. I did everything as instructed and finally the customer service person assured me that the end date has been updated on the system. Come the 10th December, with extreme disappointment I find my broadband line was cut and this is a day right after Boris Johnson's announces ""Everyone should work from home , if you can"". So i ring the customer service number expressing my discontent and a very helpful man by the name of Finn (Glasgow Value Team) sorts the issue out with a refund and an immediate arragement for a 4G hub to arrive the next day at free of cost. HOWEVER, I was told that I need to call to confirm my end date for that 4G Hub as soon as possible to avoid entering into a new contract arragement. This is where I had a real issue, I called on Monday 13th to cancel the 4G hub for the 18th December and the other person on the line acknowledges that she understood the 4G cancellation is to happen on 18th Dec. On the 14th Dec,  I woke up to a nasty surprise of there being NO WIFI Again. At this point my patience is wearing thin and I have allot going on personally that the lack of internet connection is proving to be a MAJOR inconvience. I pick up the phone to speak to customer service again and I explain my situation repeatedly to 4/5 different individuals all of which do very little to solve my problem but pass the bucket to another clueless individual. Now imagine this, they keep asking me is there a reason I am leaving BT and if I would be interested in a different product. I said this time and again that I WONT BE IN THE COUNTRY & WILL HAVE NO USE OF ANY BT product.I mean the audacity to squeeze in Marketing and after that sternly warn me that if I dont cancel the plan on time I may face extra charges is both beyond infuriating. They have recorded all my telephone conversations for ""training purposes"" and everything in on record to show my phone call on 14th December was over 1 hour long! I got provided some temporary BT Wifi pass and was told another BT 4G hub will arrive the next day (although mind you the next day delivery was only provided to me after much insistance as they were only prepared to send me a Hub in the next 3-4 working days at the start of the call. ABSOLUTELY RIDICULOUS & UNACCEPTABLE when it was NOT MY FAULT) . In conclusion, I would highly advise BT team to re-train your customer service in how to deal with leaving customer because my experience is absolutely appaling to say the least and I would never recommend BT or take up any BT products in the future as I have very little faith in their staff to understand the very very simple needs of customers. I am never the sort of person to lose my patience easily and I give people allot of chances before I write them off. But this experience is quite simply THE WORST.",Shivani Chakravarty,2021,12,23,1,0.11,0.058,Negative
I have just paid 39.00 for broadband…,I have just paid 39.00 for broadband for 30 days and im having to keep relogging in every 3 minutes disgusting,STEVEN HARRINGTON,2021,12,23,1,0.159,0,Negative
AVOID – Cowboys!,"We installed BT wifi for our London retail premises and office. Disaster from day one. Delayed installation, major issues with wifi reception, 10+ engineer visits.  Cherry on the cake is their invoicing – watch out for false and hidden charges. Upon further investigation (hold your breath) we discovered more than £2,000 false charges! Numerous complaints filed since and still ongoing. Zero duty of care to customers. Account to be closed and BT held responsible to rectify their ill-business practices. @PhilipJansen what a sh*tshow of company you are running! BT states you were hired to ""position BT at the heart of the UK’s digital economy"". Total joke!",Stephanie ,2021,12,23,1,0.117,0.066,Negative
What happened to BT!,"What happened to BT!They were so so good.I got TV+Broadband from them a couple of months ago.Since then I am unable to watch the TV ,the PRO BOX is unusable .I asked for a new box but they sent the old one.Reason was I got the TV that you can use the nee box via Wifi,the old one cant do.The broadband is so slow sometimes I switch to mobile network!Costumer service is appalling…I wasted my money for something I dont(cant) even use.",Tibor Tátrai,2021,12,23,1,0.061,0,Negative
welcome to BTdigital voice,welcome to BTdigital voice. biggest cock up since graham bell invented the telephone. was switched over with about a weeks notice.went as planned but none of my extensions worked. rung helpline and told i needed a couple of adapters at £16 a pop. duly bought and installed as per instructions and phones still did not work right. got fed up in the end and rung phone engineer at a cost of £70 and was informed that i really didnt need them. sending them back hopefully for a refund.as im disabled i have to have my phones working right. what about some compensation BT  i hold my breath,geoff clack,2021,12,23,1,0.013,0.054,Positive
