,Title,Link,Description,Day,Month,Year,Hour,Creator,Topic
0,Phone line topics,https://business.forums.bt.com/t5/Phone-line/bd-p/Phone-systems,Phone line topics ,28,Mar,2022,18,Phone-systems,Phone-systems
1,"Number suddenly ported to the cloud because of BT error, no internet or phone for a MONTH - HELP PLZ",https://business.forums.bt.com/t5/Phone-line/Number-suddenly-ported-to-the-cloud-because-of-BT-error-no/m-p/86263#M3605,"We've been a BT customer for well over 40 years, with 3 telephones and broadband. It is a restaurant so all these are business critical and essential to us.             Out of the blue on Monday 28th February, to my utter shock, I received a letter saying ""Sorry you're leaving"" your services will cease on Wednesday 2nd March... As you can imagine that caused so much panic and headache to try and get through to BT and see why this was the case as I never said I wanted to leave. The advisor told me not to worry as they checked and the number port cease request had been actioned and my number and telephone broadband wont be affected.             Come Wednesday 2nd, I found we had no line or broadband so I contacted BT and after being passed from team to team and on hold for a great deal of time I was seen to.  My complaint from 15th Feb was reopened and I was told it was being investigated and they would need to request a reversion restore of services from a department which deals with bringing numbers back, I was assigned a Complaint Manager (CM).             Openreach sent a form to CM requesting more info to be provided to them which he did. However after that it went radio silent, I was phoning up every single day bearing in mind it had been well over 2 weeks and nothing was heard from openreach or BT. Surely if Openreach aren't responding to the escalations chaser from the CM, the CM could talk to a senior manager? We've never defaulted on payments, always had a prompt care package across all our products so should anything catastrophic like this happen then we are seen to and a solution provided as a priority.  Being such loyal and long standing customers of BT seems like it means nothing to them, nor are they worried about the wider effect this is having both mentally and financially to my family and me. The roof over our heads is hanging in the balance as well as the survival of our business. Our livelihood is in jeopardy. We have lost business due to this BT system error. Two years COVID had brought us to standstill and now this year BT have brought us down to our knees. We are very very worried about the business surviving.             Somehow, the telephone number has started working even though it's showing as inactive and in quarantine, which is really baffling?! I was told yesterday a request was sent for the number to be moved out of quarantine and show as an active PSTN to allow for this new CloudVoice service to be ordered and they should get back within 24hrs. It has surpassed that timeframe and last I heard it was still sitting in the Recovery team's queue!             I apologise for the lengthy overview, but I am at wits end now, there is no light at the end of the tunnel, it has gone on far too long and the response has been severely inadequate. I cannot believe how we are still without service.  Please please please can anyone help or advise?             Thanks ",24,Mar,2022,19,mji1,Phone-systems
2,Frequently Asked Questions - Phone lines,https://business.forums.bt.com/t5/Phone-line/Frequently-Asked-Questions-Phone-lines/m-p/86253#M3604,"STRONG How do I do proper telephone line checks?   STRONG   Checking the wiring if you’re having issues with your phone can often solve, or help pinpoint the issue.   A href=""https:  btbusiness.custhelp.com app answers detail c 5128 a_id 45454 ?s_intcid=btb_intlink_communityphone_45454pstnwiringhelpfaq"" target=""_self"" Here’s a link to a help article on how to check your internal phone wiring.   A ",24,Mar,2022,11,BethM,Phone-systems
3,BT Business and Yealink DECT IP Phone W56H - Cant access Voicemail as PIN will not work,https://business.forums.bt.com/t5/Phone-line/BT-Business-and-Yealink-DECT-IP-Phone-W56H-Cant-access-Voicemail/m-p/86242#M3602,"I have been successfully using my pin number to access voice messages and putting the do not disturb message on but for some reason, (I expect I have mistyped the numbers and then not listened to the message to rectify properly) the pin number does not work any more.  It tells me that the pin is incorrect then says good bye.  How can I reset the pin?             Many thanks,             Julie ",23,Mar,2022,17,JMakunde,Phone-systems
4,"My Organisation's landline seems to have been ""Spoofed""",https://business.forums.bt.com/t5/Phone-line/My-Organisation-s-landline-seems-to-have-been-quot-Spoofed-quot/m-p/86171#M3599,"I am posting this here as i can't find any information online as what to do when your number has been spoofed.             We are an emergency services provider and one of our range of DDI numbers appear to be used by another organisation.  We are only aware when the caller returns a missed call and they come through to ourselves.             Is there anyway for me to stop this from happening, can i register my number only from a specific source or raise it with a specific department at BT?             any help on this matter would be appreciated. ",16,Mar,2022,10,Mark36,Phone-systems
5,Cloud Voice Express - second number?,https://business.forums.bt.com/t5/Phone-line/Cloud-Voice-Express-second-number/m-p/86097#M3598,"Hi there,             Although I am struggling to retain my existing number from BT Residential to BT Business I need to ask if it is possible to add any additional numbers to Cloud Voice Express?             I ask because I have a second line that I moved from BT Residential to PlusNet a few years ago as BT couldn't (and still don't offer a static IP address on Residential) and to use as a failover not realising at the time that PlusNet use OpenReach backbone so in the event that BT falls over chances are that PlusNet would fall over also!   span class=""lia-unicode-emoji"" title="":face_with_rolling_eyes:"" 🙄   span              My plan is to wait until BT Full Fibre is up &amp amp  running and then cease PlusNet in the process saving me £50 per month - when I signed up it was only £24.99 per month but doubled when my contract expired.             I am wondering what to do with the ex-BT telephone number that is currently utilised on the PlusNet line and whether it might be possible to port it across to Cloud Voice Express on termination with PlusNet.             Now this might be a loaded question what with the grief that I am currently experiencing trying to port my telephone number of 50+ years from BT Residential to BT Business so is only hypothetical at this point in time.             Does BT offer &amp amp  support additional telephone numbers on Cloud Voice Express and if so what are the charges for these second &amp amp  subsequent numbers please?             Thanks &amp amp  kind regards,      -=Glyn=- ",04,Mar,2022,16,GlynH,Phone-systems
6,Cloud Voice Express - unable to retain 50+ year BT telephone number,https://business.forums.bt.com/t5/Phone-line/Cloud-Voice-Express-unable-to-retain-50-year-BT-telephone-number/m-p/86094#M3596,"Hi there,             Long story short as nearly all of my dealings with BT are convoluted and painful but I have recently cancelled my order for Full Fibre 900 DV service with BT Residential as they were unable to offer the static IP address they promised half-a-dozen times when I placed my order and have since ordered Full Fibre 900 and Cloud Voice Express with BT Business and my install is due in 10 days.             However I have been unable to retain my telephone number of 50+ years that has been in this same house since I was a child - I am 62 now.             I have been given various reasons that seem to change depending on wind direction and whether I talk to (R)Residential or (B)Business and range from              No problem - it can be ported across (R)      We can port your telephone number across (B)      It's in a normal PSTN pool (R&amp amp B)      It's in an ISDN pool (B)      You should be able to retain your number (R)      You can't retain your number (B)      We can't do anything - you need to talk to Business (R)      We can't do anything - you need to talk to Residential (B)             etc. etc...I'm sure you get the idea.             I find it staggering in this day &amp amp  age of technology and telephone numbers following you around wherever you go in the country that this particular number (it's nothing special but it's MY number and is still live on the copper network) cannot be ported from BT Residential to BT Business for some unknown and possibly illogical reason.             I have requested that someone from either side of the BT family please give me the reason it can't be done but of course they can't won't and how could they if they don't even know the reason themselves?             On what was my 4th telephone conversation about this today Business done some top line checks and told me at first there should be no problem porting it across but would do a deeper dive while I was on hold on completion of which was told it now could not be ported across. I was also told it was futile to pursue it further, try to escalate or even make a complaint as his Manager would turn to the same testing that had just returned a 'Computer says no' response and I was in fact already talking to the Complaints Officer and it would go nowhere and just stay on his desk!             Glad I don't run my business like that!   span class=""lia-unicode-emoji"" title="":face_screaming_in_fear:"" 😱   span              Thinking I can't be the only one to have been kneecapped in this situation (can I?) I am reaching out to those of you who might have been unfortunate enough to have been down this same road before and if so was it resolved or did you lose your number for good and what was the reason given?             My choices seem to be              1. Cancel my order with Business and go back to Residential Full Fibre 900 and retain my telephone number but no static IP address although I do get 12 months Xbox Game Pass Ultimate. Whoopy doo...  span class=""lia-unicode-emoji"" title="":face_with_rolling_eyes:"" 🙄   span       2. Continue with my Business order to obtain a static IP address but lose my telephone number.             I can't even ask that the copper PSTN pair be retained purely for voice service as BT have a 2025 cut-off date for copper (yeah...right) and I'll just end up kicking the problem down the road for a few years even if this were an option and so it's not a solution unless BT can pull a rabbit out of a hat in the interim.             Also what did those of you with an analogue PBX do when you went over to Cloud Voice Express? My PBX has a VoIP card that has worked well with 3rd Party providers but not of course the BT proprietary DV VCE service.             If only BT had not gone with a proprietary VoIP service I might even have been able to use a 3rd Party solution utilising the RJ11 ports on my existing router having ported my number from BT Residential to the 3rd Party VoIP provider which I'm told is possible. But BT Residential can't port the same number to BT Business?             I realise there are two distinct branches under the BT umbrella but as far as the customer is concerned BT is BT isn't it?             Part of me is hoping that nobody answers purely because I feel your pain if this has happened to you but on the other hand I hope I get some replies because I am literally clutching at straws for a resolution here.             Whichever way thanks for listening!             Thanks &amp amp  kind regards,      -=Glyn=- ",04,Mar,2022,15,GlynH,Phone-systems
7,Cloud voice express app,https://business.forums.bt.com/t5/Phone-line/Cloud-voice-express-app/m-p/86089#M3595,"Hi can anyone tell me if there are any call charges whilst using the app from your mobile phone, or does this only use your mobile phone data. Im assuming this is the case and the only call charges you could incur are from using your landline phone. ",03,Mar,2022,19,smack,Phone-systems
8,BT4600 Caller display not showing the time of calls,https://business.forums.bt.com/t5/Phone-line/BT4600-Caller-display-not-showing-the-time-of-calls/m-p/86022#M3591,"We use a BT4600 as an answerphone for one of our phonelines in work.                                                                  We have caller ID enabled.             When I check the numbers for the recent calls - by pressing the CALLS button, it displays the number and, also, if someone has calls today - it shows the time.             When I look at the calls for yesterday is shows the number but not the time of the call. It just says ""Thurs PM"".             Is there anyway I can see the calls number and the times of ALL calls. Not just those from today?             I cannot see any options in the manual to adjust the call information.             Thanks. ",18,Feb,2022,10,sysip10,Phone-systems
9,Unable to move to Cloudvoice,https://business.forums.bt.com/t5/Phone-line/Unable-to-move-to-Cloudvoice/m-p/85972#M3588,"Hi,             So our business has outgrown the cloudvoice express service we have used for the last couple of years and we had been recommended to upgrade our phone service to cloud voice. So we got the contracts and signed them with the understanding that we were able to keep our current business landline number.             Yesterday, I received a call from my local account manager who is handling the switch to inform me that BT cloud team are unable to transfer our business landline number as they are unable to port it from cloudvoice express. He explained that this is because the number has never been a traditional landline number and has only ever been cloudvoice express. He presented me with the option to continue with the order and take a new landline number or cancel the order or keep 2 separate subscriptions and forward the calls from our current landline to the new landline.             As a business its vitally important to keep the same landline number as this number becomes associated with the business. It ends up on marketing material and more. It's impractical to reprint all material and then tell current clients that unfortunately BT can't move our number to the new service we require.             Has anyone else experienced this? Has anyone managed to get this issue fixed?             I don't particularly want to keep my current subscription and pay for the new one however, we need the functionality of the cloud voice service. This issue would also prevent us from switching supplier to get the functionality elsewhere as the number wouldn't be portable.             Really would appreciate any help with this. ",12,Feb,2022,10,nnyleeaesthet,Phone-systems
